AtomicSymbol,Z,AtomicMass,AtomicNumber,AtomicRadius,Block,BoilingPoint,CovalentRadius,ElectronAffinity,Electronegativity,FusionHeat,MagneticType,MassDensity,MassMagneticSusceptibility,MeltingPoint,MolarHeatCapacity,MolarMagneticSusceptibility,MolarVolume,Phase,SoundSpeed,SpecificFusionHeat,SpecificHeat,SpecificIonizationEnergies,ThermalConductivity,Valence,ValenceElectronCount,VaporizationHeat,VolumeMagneticSusceptibility,MagneticOrdering
Mo,42,1.0749271264594473,1.233029598570215,3.4230577823350368,2.080769566782865,2.944793590924384,3.493717820891832,0.9202923834539883,3.4188807347207746,2.5121320005668815,1.2214378516209228,1.1977249826749186,0.0066823124036308424,2.984608701851116,3.0733892333540367,0.003996470364914254,0.0017564986008959773,0.0,2.047107696438969,0.3684346375928533,0.15510216395385876,0.05079204155518851,1.7344374840284245,3.450216982648591,0.47960743643088743,2.890451643416721,0.008209625893720006,0.0
Tc,43,1.0866902685415987,1.2623874461552202,3.2969451271963774,2.080769566782865,2.7073819067239704,3.334912465396749,0.6783796428798522,3.0073487944303103,1.6049732225843965,1.2214378516209228,1.3398674417083234,0.019532913179844003,2.454365600416644,0.7798501296544523,0.011939544263094988,0.0015873395517315941,0.0,,0.23284077318779733,0.03893002521551037,0.051541788716721236,0.6363763430607888,3.450216982648591,0.9592148728617749,2.6495806731319944,0.026839948994181864,0.0
Ru,44,1.132286447850509,1.2917452937402254,3.206864659240192,2.080769566782865,2.6343809877853404,3.3122259860403083,1.2966010910137555,3.482193340919307,1.7933831226269126,1.2214378516209228,1.441231326428866,0.003095566942536681,2.655766950103128,3.0697152216975563,0.0019519302673556248,0.0015376181963974943,0.0,1.9743510416382302,0.24969726684470084,0.1470689841474836,0.050044057073948295,1.4973561013195031,3.450216982648591,0.47960743643088743,2.79410325530283,0.004572277097915548,0.0
Rh,45,1.1528494284794308,1.3211031413252305,3.1167841912840073,2.080769566782865,2.3455512650281523,3.221480068614546,1.4041178646022603,3.6088185533163726,1.514257344786148,1.2214378516209228,1.450552143414663,0.007767474246955511,2.234758479007088,3.151727737541728,0.004986683164777143,0.0015554825282359784,0.0,1.5543467161976017,0.20707328715602713,0.148304857963849,0.04980890840454186,1.8716951266493789,3.450216982648591,0.47960743643088743,2.384622605818795,0.011553530039956749,0.0
Pd,46,1.192222457507185,1.3504609889102357,3.0447198169190592,2.080769566782865,1.8808845462187864,3.153420630545225,0.6873393740122277,3.482193340919307,1.165350122485192,1.2214378516209228,1.4008022827529716,0.037523754266542426,1.7692596532627909,3.2593677289279066,0.02490492049151556,0.0016657366881824233,0.0,1.0152860465375824,0.15409769677443474,0.148304857963849,0.053832297549218575,0.8984136607917019,2.3001446550990607,4.796074364308875,1.8306193741639234,0.05390509969617151,0.0
Ag,47,1.2084466311865865,1.3798188364952408,2.9726554425541107,2.080769566782865,1.3724172760462423,3.2895395066838677,1.607631757466216,3.05483324907921,0.7885303224001601,-1.2214378516209228,1.222192127262636,-0.001296482833866839,1.0943716954885117,3.234894778688302,-0.0008726695538360001,0.0019351466715399831,0.0,0.8598513749178223,0.10286981120645569,0.1452151734229355,0.048263415604840786,5.36552602972822,0.5750361637747652,0.47960743643088743,1.2284419484521065,-0.001624182013886417,0.0
Cd,48,1.25937319430758,1.409176684080246,2.9005910681891627,2.080769566782865,0.4868843897906882,3.266853027327427,0.0,2.674957611888013,0.43962310009920424,-1.2214378516209228,1.0078133365893043,-0.001313616968235123,0.36533294544542044,3.2994921730067728,-0.0009225363854837714,0.002445683411281905,0.0,0.7639448754077575,0.05503298618037787,0.14212548888202195,0.054978559007994775,1.2103628485665985,1.1500723275495304,0.9592148728617749,0.4817419405694535,-0.0013580345410226773,0.0
In,49,1.2863051881794771,1.4385345316652511,2.8105106002329774,1.0403847833914326,1.315286122094271,3.221480068614546,0.3699088996080704,2.817410975834712,0.22748750894022313,-1.2214378516209228,0.8516896520772038,-0.0007995929371865966,0.1781889907395672,3.414009801913422,-0.0005734685639493715,0.0029558918801856795,0.0,0.40181516174044385,0.02788114168489158,0.14397929960657008,0.034629941558109015,1.0231933359016605,1.7251084913242956,1.4388223092926624,1.108006463309743,-0.0006960780059513205,0.0
Sn,50,1.3299072348306513,1.4678923792502563,2.61233357072937,1.0403847833914326,1.651725139811435,3.153420630545225,1.3733987864341162,3.1023177037281098,0.48847011122133804,-1.2214378516209228,0.8516896520772038,-0.0017705272180560355,0.26390403973325555,3.2873496857155566,-0.0013107852890271348,0.00305608811420545,0.0,0.8267801681902137,0.05790468001835471,0.13409230907564682,0.04251164901625115,0.8360238232367226,2.3001446550990607,1.9184297457235497,1.397051627651415,-0.001549114777950492,0.0
Sb,51,1.3640763618311862,1.4972502268352612,2.396140447634526,1.0403847833914326,1.0074126813530928,3.153420630545225,1.320920361230203,3.2447710676748085,1.3746944558657657,-1.2214378516209228,0.7802688919235341,-0.0062254021538099315,0.717569113857556,3.2164281164870405,-0.004726663256899478,0.0034215294645188817,0.0,1.1310352700842123,0.15887827568294077,0.12791293999381975,0.04878154147064931,0.2994712202639006,2.875180818873826,2.3980371821544373,0.3275845195872284,-0.004981734748475148,0.0
Te,52,1.4295018377928659,1.5266080744202664,2.2159795117221552,1.0403847833914326,0.6271731122727509,3.1307341511887845,2.4344869448254323,3.323911825422975,1.2211752780533451,-1.2214378516209228,0.7270237248921686,-0.0022274374678769478,0.5114797779523809,3.2729969211791086,-0.0017738344400421552,0.003848238927787041,0.0,0.8631584955905831,0.13467602987811297,0.12420531854472354,0.0485191421548625,0.037433902532987576,3.450216982648591,2.877644618585325,0.23123613147333769,-0.0016583034847663847,0.0
I,53,1.4217098204477243,1.5559659220052715,2.071850762992259,1.0403847833914326,0.11699190748164777,3.153420630545225,3.778446614681743,4.210288312202435,0.5415040090110833,-1.2214378516209228,0.5755604488729668,-0.0025701201552426325,0.1293747653070804,6.947572329799621,-0.004060584862747102,0.004834437105073574,0.0,,0.060046504749637,0.2650949336103801,0.05659134629101098,0.005602607412437141,4.025253146423356,3.3572520550162124,0.10068406557901577,-0.0015149933070705245,0.0
Xe,54,1.470874488944661,1.5853237695902767,1.9457381078535998,1.0403847833914326,-0.06855738474236549,3.176107109901665,0.0,4.115319402904635,0.16049732225843963,-1.2214378516209228,0.0006874102527025312,-0.002455892592787404,-0.1272128299149656,2.65262719713195,-0.002012482848642204,4.187795868081783,3.139299861419661,0.36047615333093314,0.01720240606827199,0.09783177130348572,0.0634872988225277,7.05005164371266e-05,3.450216982648591,3.8368594914470995,0.06089218128797893,-1.733370720702312e-06,0.0
Cs,55,1.48893877609335,1.6146816171752818,5.368795890188637,0.0,0.4259444922419189,5.535500962971474,0.5823825236044015,1.250423972421024,0.1458432189217995,1.2214378516209228,0.2189226889539078,0.0015991858743731931,0.03236075923776048,4.104469450851756,0.0013250329552122124,0.01331103913670915,0.0,,0.015442102131295198,0.1495407317802144,0.020132258904633216,0.44920683039585096,0.5750361637747652,0.47960743643088743,0.31313226137014477,0.00035895787365724954,0.0
Ba,56,1.538473345443424,1.644039464760287,4.55807167858297,0.0,1.187058421002069,4.8775930616347,0.1785546418523385,1.408705487917356,0.5582515556815292,1.2214378516209228,0.4089508452518448,0.0064538572787203865,0.827224752667084,3.5925982891158044,0.005528094479810091,0.007362829776889045,0.0,0.5357535489872585,0.05720539454818592,0.12667706617745436,0.02608073409748974,0.22460341519792548,1.1500723275495304,0.9592148728617749,0.6744387167972349,0.002706515070198965,0.0
La,57,1.5561569329504845,1.673397312345292,4.07163715161957,3.1211543501742978,2.198914636551426,4.696101226783177,0.6143815633628851,1.7410966704596536,0.43264495565318517,1.2214378516209228,0.716071764933857,0.0062825159350375455,1.04683187407664,3.456629440991076,0.005442608482699625,0.004253267877779799,0.0,0.8185123665083115,0.043830383664999036,0.12049769709562731,0.027589113904521692,0.16221357764294617,1.7251084913242956,0.9592148728617749,1.926967762277814,0.0046139052923891075,0.0
Ce,58,1.5697184914121098,1.7027551599302972,3.7833796541597775,3.1211543501742978,2.132896414206926,4.628041788713855,0.6399807951696719,1.77275297355892,0.3837979445310513,1.2214378516209228,0.7793368102249544,0.1256503187007509,0.908012864688216,3.433110834102331,0.10979963945530015,0.003942053177396764,0.0,0.6944953412797795,0.03854587332473897,0.1186438863710792,0.02716269313109365,0.13725764262095447,2.3001446550990607,0.9592148728617749,1.6860967919930874,0.1004263130939182,0.0
Pr,59,1.5785874524223533,1.7321130075153024,4.449975117035548,3.1211543501742978,2.088461072244282,4.605355309357415,0.6399807951696719,1.788581125108553,0.48149196677531897,1.2214378516209228,0.7736278098211536,0.24159129459280743,1.059348342136252,3.470489835643751,0.2123044738238406,0.003993580721943545,0.0,0.7540235133894748,0.04808586346380958,0.11926182327926191,0.026636068363399927,0.16221357764294617,2.3001446550990607,0.9592148728617749,1.5897484038791965,0.19167395052112535,0.0
Nd,60,1.6159420382987348,1.7614708551003073,3.7113152797948294,3.1211543501742978,1.967850858345676,4.559982350644534,0.6399807951696719,1.8044092766581863,0.4954482556673572,1.2214378516209228,0.8167365883804649,0.2741461498925474,1.161755808078532,3.497391107234058,0.24660929208096105,0.0038723059306145675,0.0,0.7705591167532791,0.04833587048288897,0.1174080125547138,0.026321525480364143,0.21212544768692962,1.7251084913242956,0.9592148728617749,1.3729645306229425,0.22962385043382438,0.0
Pm,61,1.6244339065828022,1.7908287026853125,3.693299186203592,3.1211543501742978,1.9043717983990411,4.514609391931653,0.6399807951696719,1.8202374282078195,0.5373171223434718,0.0,0.8463301823103706,,1.2516468059612,,,0.003756540803556634,0.0,,0.05214655876880535,,0.026522830268021005,0.1871695126649379,1.7251084913242956,0.9592148728617749,1.397051627651415,,0.0
Sm,62,1.68448194616407,1.8201865502703176,4.287830274714414,3.1211543501742978,1.1445274508378238,4.4919229125752125,0.6399807951696719,1.8518937313070858,0.6001204223576438,1.2214378516209228,0.8566995912070697,0.06339629716265159,1.219786705445824,3.7608607489755057,0.059448387157236084,0.0038482536933254936,0.0,0.704416703298062,0.05616542703114281,0.12111563400381002,0.025790494870778388,0.16221357764294617,1.7251084913242956,0.9592148728617749,0.8430483959965437,0.05569852420562256,0.0
